id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.02,2014-04-06,0.21520952016085249,5.983283018867924,21.323975,7.6094,,,,7.502750000000001,14.973235294117647,,,,,1.0,-1.0,-1.0,4.0,16.934179464975994,
AS14.02,2014-04-07,0.13652373439609958,7.332626666666667,17.446875000000002,18.0835,,,,17.691333333333333,13.81708510638298,,,,,1.0,0.0,0.6,7.0,18.94256816849564,
AS14.02,2014-04-08,0.26195103762156396,4.996065573770491,17.20367469879518,9.464333333333334,,,,13.4434,14.09473076923077,,,,,1.0,-0.25,0.5,6.0,15.09242952590021,1.0
AS14.02,2014-04-09,0.24720984804489024,5.205150684931507,15.248164383561644,19.1619375,,,,12.279399999999999,11.707666666666666,,,,,1.0,-0.5,0.25,7.0,13.683538463565853,1.0
AS14.02,2014-04-10,0.2607506038432931,4.686964285714287,15.083951219512196,6.4318620689655175,,,,21.219749999999998,9.2654,21.896625,,1.0225,,1.0,0.25,0.75,7.0,11.871557956156524,1.0
AS14.02,2014-04-11,0.4244814273084369,5.767611940298508,15.378897727272728,10.154423076923077,,,,22.688,10.975695652173913,15.773225,,,,1.0,-0.5,0.5,6.0,14.847436471538648,1.0
AS14.02,2014-04-12,0.3783017333120427,6.8200625,13.590575757575756,,,,,11.016,7.493399999999999,14.496578947368421,,3.493,,1.0,-2.0,-1.0,6.0,15.21755556076292,1.0
AS14.02,2014-04-13,0.28982011828279997,7.276078431372548,15.764512195121952,7.790142857142857,,,,7.125249999999999,9.467,8.869222222222222,,,,1.0,-0.6,0.4,7.0,11.824677060047785,
AS14.02,2014-04-14,0.18707405017212794,6.150257142857143,18.06656896551724,5.63364705882353,,,,7.060666666666666,18.939,,,3.1999999999999997,,1.0,0.3333333333333333,1.0,8.0,16.0263658616601,1.0
AS14.02,2014-04-15,0.1736288831786874,5.918272727272727,8.387181818181817,4.9145,,,,,12.693000000000001,,,,,1.0,-0.5,0.5,7.0,15.243588251226088,1.0
AS14.02,2014-04-16,0.3532763532763534,6.582111111111112,,,,,,,,,,,,1.0,-0.3333333333333333,0.3333333333333333,7.0,27.320999920368195,1.0
AS14.02,2014-04-17,0.4700854700854705,2.007,12.533666666666667,,,,,,,,,,,1.0,0.25,0.0,6.0,13.744999885559073,1.0
AS14.02,2014-04-18,,,,,,,,,,,,,,1.0,-0.6666666666666666,0.0,6.0,,
AS14.02,2014-04-19,0.5,10.09,24.11366666666667,,,,,,,,,,,1.0,-0.6666666666666666,-0.3333333333333333,6.0,31.5420000553131,
AS14.02,2014-04-20,,,,,,,,,,,,,,1.0,-0.6666666666666666,0.0,5.0,,1.0
AS14.02,2014-04-21,,,,,,,,,,,,,,1.0,-0.5,-0.5,6.0,,
AS14.02,2014-04-22,0.075,,,,,,,,6.5085,,,,,1.0,-1.3333333333333333,0.5,6.0,6.54000008106234,1.0
AS14.02,2014-04-23,0.142857142857143,,,,,,,,,,,,,1.0,0.0,0.5,6.0,,1.0
AS14.02,2014-04-24,0.0344827586206897,,,,,,,,,,,,,,-0.5,-0.5,7.0,,
AS14.02,2014-04-25,,,,,,,,,,,,,,,-1.0,1.0,9.0,,
AS14.03,2014-02-17,,,,,,,,,,,,,,,,,,,1.0
AS14.03,2014-02-18,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-02-20,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.03,2014-02-23,,,,,,,,,,,,,,1.0,,,,,
AS14.03,2014-02-24,,,,,,,,,,,,,,1.0,,,,,
